"Country","Happiness Score"
"Switzerland",100
"Iceland",99.452401010952
"Denmark",98.7363100252738
"Norway",98.63100252738
"Canada",96.6301600673968
"Finland",96.1878685762426
"Netherlands",95.5981465880371
"Sweden",95.3032855939343
"New Zealand",93.6604886267902
"Australia",93.6183656276327
"Israel",93.4919966301601
"Costa Rica",92.396798652064
"Austria",91.849199663016
"Mexico",91.575400168492
"United States",90.1432181971356
"Brazil",87.2788542544229
"Luxembourg",86.4995787700084
"Ireland",86.3732097725358
"Belgium",86.3100252737995
"United Arab Emirates",85.5518112889638
"United Kingdom",84.8357203032856
"Oman",84.5408593091828
"Venezuela",83.6352148272957
"Singapore",83.3824768323505
"Panama",83.1297388374052
"Germany",82.3715248525695
"Chile",80.6866048862679
"Qatar",79.4439764111205
"France",78.6857624262848
"Argentina",78.664700926706
"Czech Republic",77.2114574557709
"Uruguay",76.7902274641955
"Colombia",76.6217354675653
"Thailand",76.1583824768324
"Saudi Arabia",75.2316764953665
"Spain",73.5046335299073
"Malta",72.9359730412805
"Taiwan",72.8517270429655
"Kuwait",72.7885425442292
"Suriname",72.2409435551811
"Trinidad and Tobago",70.1137320977254
"El Salvador",69.3133951137321
"Guatemala",69.1659646166807
"Uzbekistan",66.6385846672283
"Slovakia",66.4700926705982
"Japan",66.301600673968
"South Korea",66.2384161752317
"Ecuador",66.0488626790227
"Bahrain",65.7329401853412
"Italy",65.480202190396
"Bolivia",64.2586352148273
"Moldova",64.2375737152485
"Paraguay",64.0058972198821
"Kazakhstan",63.5214827295704
"Slovenia",63.374052232519
"Lithuania",63.0581297388374
"Nicaragua",62.9528222409436
"Peru",62.8685762426285
"Belarus",62.636899747262
"Poland",62.1735467565291
"Malaysia",61.7312552653749
"Croatia",61.4995787700084
"Libya",61.3942712721146
"Russia",60.5939342881213
"Jamaica",60.4465037910699
"North Cyprus",60.1516427969672
"Cyprus",60.0252737994945
"Algeria",58.2561078348779
"Kosovo",57.9191238416175
"Turkmenistan",57.055602358888
"Mauritius",55.5602358887953
"Hong Kong",55.497051390059
"Estonia",54.5492839090143
"Indonesia",53.9174389216512
"Vietnam",53.0960404380792
"Turkey",52.5063184498736
"Kyrgyzstan",51.5374894692502
"Nigeria",51.1583824768324
"Bhutan",50.8424599831508
"Azerbaijan",49.9789385004212
"Pakistan",49.5998315080034
"Jordan",49.5577085088458
"Montenegro",49.5577085088458
"China",48.4625105307498
"Zambia",48.2308340353833
"Romania",48.1255265374895
"Serbia",48.1044650379107
"Portugal",47.6621735467565
"Latvia",47.5779275484415
"Philippines",47.0513900589722
"Somaliland region",46.7144060657119
"Morocco",45.787700084246
"Macedonia",45.6613310867734
"Mozambique",44.9031171019377
"Albania",44.6503791069924
"Bosnia and Herzegovina",44.4397641112047
"Lesotho",43.3656276326874
"Dominican Republic",43.0918281381634
"Laos",42.9022746419545
"Mongolia",42.860151642797
"Swaziland",42.7127211457456
"Greece",42.5021061499579
"Lebanon",42.12299915754
"Hungary",41.301600673968
"Honduras",41.0488626790228
"Tajikistan",41.0067396798652
"Tunisia",40.016849199663
"Palestinian Territories",39.5113732097725
"Bangladesh",39.0690817186184
"Iran",38.9005897219882
"Ukraine",38.7952822240944
"Iraq",38.7110362257793
"South Africa",37.9738837405223
"Ghana",37.7843302443134
"Zimbabwe",37.2999157540017
"Liberia",36.4785172704297
"India",36.352148272957
"Sudan",36.0362257792755
"Haiti",35.3622577927548
"Congo (Kinshasa)",35.3411962931761
"Nepal",35.2780117944398
"Ethiopia",35.2358887952822
"Sierra Leone",35.1305812973884
"Mauritania",33.6352148272957
"Kenya",33.2771693344566
"Djibouti",32.2240943555181
"Armenia",31.8239258635215
"Botswana",31.4448188711036
"Myanmar",30.9182813816344
"Georgia",30.7076663858467
"Malawi",30.6023588879528
"Sri Lanka",30.1600673967987
"Cameroon",29.759898904802
"Bulgaria",29.0438079191239
"Egypt",28.5383319292334
"Yemen",26.0741364785173
"Angola",25.1474304970514
"Mali",24.3470935130581
"Congo (Brazzaville)",24.2207245155855
"Comoros",23.5256950294861
"Uganda",22.9991575400169
"Senegal",22.4304970513901
"Gabon",22.2620050547599
"Niger",21.1878685762426
"Cambodia",20.6402695871946
"Tanzania",19.8399326032014
"Madagascar",17.7337826453244
"Central African Republic",17.670598146588
"Chad",17.4389216512216
"Guinea",17.2072451558551
"Ivory Coast",17.1861836562763
"Burkina Faso",15.75400168492
"Afghanistan",15.5012636899747
"Rwanda",13.18449873631
"Benin",10.5518112889638
"Syria",3.51727042965459
"Burundi",1.39005897219882
"Togo",0
